crn,department,course_number,course_title,level,semester_id
35827,CS,CS 225,Data Structures,2,38
23728,CS,CS 233,Computer Architecture,2,38
83994,CS,CS 241,System Programming,4,38
39093,CS,CS 242,Programming Studio,4,38
43809,CS,CS 296,Honors Course,4,38
24915,CS,CS 357,Numerical Methods I,3,38
79805,CS,CS 361,Probability & Statistics for Computer Science,3,38
24913,CS,CS 374,Introduction to Algorithms & Models of Computation,4,38
30617,CS,CS 397,Individual Study,4,38
80777,CS,CS 410,Text Information Systems,4,38
41198,CS,CS 411,Database Systems,4,38
27076,CS,CS 412,Introduction to Data Mining,4,38
68863,CS,CS 413,Intro to Combinatorics,4,38
84086,CS,CS 418,Interactive Computer Graphics,4,38
22889,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,38
32991,CS,CS 421,Programming Languages & Compilers,4,38
82453,CS,CS 424,Real-Time Systems,4,38
84637,CS,CS 425,Distributed Systems,4,38
38762,CS,CS 426,Compiler Construction,4,38
83887,CS,CS 427,Software Engineering I,4,38
49373,CS,CS 433,Computer System Organization,4,38
38681,CS,CS 438,Communication Networks,4,38
61627,CS,CS 440,Artificial Intelligence,3,38
96486,CS,CS 445,Computational Photography,4,38
30364,CS,CS 446,Machine Learning,4,38
53855,CS,CS 447,Natural Language Processing,4,38
25508,CS,CS 450,Numerical Analysis,4,38
56263,CS,CS 461,Computer Security I,4,38
68511,CS,CS 465,User Interface Design,3,38
58410,CS,CS 466,Introduction to Bioinformatics,3,38
37583,CS,CS 473,Algorithms,5,38
81340,CS,CS 481,Advanced Topics in Stochastic Processes & Applications,5,38
65856,CS,CS 483,Applied Parallel Programming,4,38
84487,CS,CS 484,Parallel Programming,4,38
37711,CS,CS 491,Seminar,4,38
63005,CS,CS 493,"Senior Project II, ACP",4,38
97543,CS,CS 494,Senior Project II,4,38
44403,CS,CS 497,CS Team Project,4,38
96988,CS,CS 498,Special Topics,4,38
68608,CS,CS 499,Senior Thesis,5,38
71233,CS,CS 510,Advanced Information Retrieval,5,38
95564,CS,CS 513,Theory & Practice of Data Cleaning,5,38
70041,CS,CS 523,Advanced Operating Systems,5,38
37053,CS,CS 536,Fault-Tolerant Dig Syst Design,5,38
39440,CS,CS 547,Deep Learning,5,38
62667,CS,CS 554,Parallel Numerical Algorithms,5,38
16203,CS,CS 563,Advanced Computer Security,5,38
98389,CS,CS 571,Combinatorial Mathematics,5,38
25456,CS,CS 576,Topics in Automated Deduction,5,38
88969,CS,CS 581,Algorithmic Genomic Biology,5,38
13679,CS,CS 584,Embedded System Verification,5,38
79931,CS,CS 591,Advanced Seminar,5,38
61635,CS,CS 598,Special Topics,5,38
98714,CS,CS 599,Thesis Research,5,38
63315,CS,CS 225,Data Structures,2,37
88487,CS,CS 233,Computer Architecture,2,37
22760,CS,CS 241,System Programming,4,37
97062,CS,CS 242,Programming Studio,4,37
18735,CS,CS 296,Honors Course,4,37
11454,CS,CS 357,Numerical Methods I,3,37
54436,CS,CS 361,Probability & Statistics for Computer Science,3,37
30816,CS,CS 374,Introduction to Algorithms & Models of Computation,4,37
67907,CS,CS 397,Individual Study,4,37
43286,CS,CS 410,Text Information Systems,4,37
57466,CS,CS 411,Database Systems,4,37
40199,CS,CS 412,Introduction to Data Mining,4,37
64681,CS,CS 413,Intro to Combinatorics,4,37
58164,CS,CS 418,Interactive Computer Graphics,4,37
67027,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,37
93922,CS,CS 421,Programming Languages & Compilers,4,37
41051,CS,CS 424,Real-Time Systems,4,37
31815,CS,CS 425,Distributed Systems,4,37
23456,CS,CS 426,Compiler Construction,4,37
82136,CS,CS 427,Software Engineering I,4,37
21902,CS,CS 433,Computer System Organization,4,37
34592,CS,CS 438,Communication Networks,4,37
81824,CS,CS 440,Artificial Intelligence,3,37
69978,CS,CS 445,Computational Photography,4,37
80995,CS,CS 446,Machine Learning,4,37
94945,CS,CS 447,Natural Language Processing,4,37
42757,CS,CS 450,Numerical Analysis,4,37
19012,CS,CS 461,Computer Security I,4,37
93208,CS,CS 465,User Interface Design,3,37
23065,CS,CS 466,Introduction to Bioinformatics,3,37
22142,CS,CS 473,Algorithms,5,37
67884,CS,CS 481,Advanced Topics in Stochastic Processes & Applications,5,37
61781,CS,CS 483,Applied Parallel Programming,4,37
49632,CS,CS 484,Parallel Programming,4,37
10570,CS,CS 491,Seminar,4,37
80593,CS,CS 493,"Senior Project II, ACP",4,37
31399,CS,CS 494,Senior Project II,4,37
45401,CS,CS 497,CS Team Project,4,37
43746,CS,CS 498,Special Topics,4,37
90614,CS,CS 499,Senior Thesis,5,37
74538,CS,CS 510,Advanced Information Retrieval,5,37
28318,CS,CS 513,Theory & Practice of Data Cleaning,5,37
22961,CS,CS 523,Advanced Operating Systems,5,37
14720,CS,CS 536,Fault-Tolerant Dig Syst Design,5,37
82142,CS,CS 547,Deep Learning,5,37
57189,CS,CS 554,Parallel Numerical Algorithms,5,37
71276,CS,CS 563,Advanced Computer Security,5,37
60110,CS,CS 571,Combinatorial Mathematics,5,37
52702,CS,CS 576,Topics in Automated Deduction,5,37
51594,CS,CS 581,Algorithmic Genomic Biology,5,37
42873,CS,CS 584,Embedded System Verification,5,37
97661,CS,CS 591,Advanced Seminar,5,37
20679,CS,CS 598,Special Topics,5,37
48574,CS,CS 599,Thesis Research,5,37
55930,CS,CS 225,Data Structures,2,34
99674,CS,CS 233,Computer Architecture,2,34
94688,CS,CS 241,System Programming,4,34
79602,CS,CS 242,Programming Studio,4,34
23688,CS,CS 296,Honors Course,4,34
54737,CS,CS 357,Numerical Methods I,3,34
56180,CS,CS 361,Probability & Statistics for Computer Science,3,34
70917,CS,CS 374,Introduction to Algorithms & Models of Computation,4,34
38665,CS,CS 397,Individual Study,4,34
42327,CS,CS 410,Text Information Systems,4,34
35150,CS,CS 411,Database Systems,4,34
48043,CS,CS 412,Introduction to Data Mining,4,34
55828,CS,CS 413,Intro to Combinatorics,4,34
85703,CS,CS 418,Interactive Computer Graphics,4,34
45711,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,34
12804,CS,CS 421,Programming Languages & Compilers,4,34
24355,CS,CS 424,Real-Time Systems,4,34
32781,CS,CS 425,Distributed Systems,4,34
18594,CS,CS 426,Compiler Construction,4,34
38313,CS,CS 427,Software Engineering I,4,34
91442,CS,CS 433,Computer System Organization,4,34
33628,CS,CS 438,Communication Networks,4,34
21717,CS,CS 440,Artificial Intelligence,3,34
10015,CS,CS 445,Computational Photography,4,34
21125,CS,CS 446,Machine Learning,4,34
47634,CS,CS 447,Natural Language Processing,4,34
47268,CS,CS 450,Numerical Analysis,4,34
48381,CS,CS 461,Computer Security I,4,34
13440,CS,CS 465,User Interface Design,3,34
65490,CS,CS 466,Introduction to Bioinformatics,3,34
71212,CS,CS 473,Algorithms,5,34
44558,CS,CS 481,Advanced Topics in Stochastic Processes & Applications,5,34
70831,CS,CS 483,Applied Parallel Programming,4,34
63823,CS,CS 484,Parallel Programming,4,34
42384,CS,CS 491,Seminar,4,34
20649,CS,CS 493,"Senior Project II, ACP",4,34
11904,CS,CS 494,Senior Project II,4,34
97267,CS,CS 497,CS Team Project,4,34
71145,CS,CS 498,Special Topics,4,34
77633,CS,CS 499,Senior Thesis,5,34
18142,CS,CS 510,Advanced Information Retrieval,5,34
27547,CS,CS 513,Theory & Practice of Data Cleaning,5,34
65114,CS,CS 523,Advanced Operating Systems,5,34
75084,CS,CS 536,Fault-Tolerant Dig Syst Design,5,34
74113,CS,CS 547,Deep Learning,5,34
74750,CS,CS 554,Parallel Numerical Algorithms,5,34
86240,CS,CS 563,Advanced Computer Security,5,34
32292,CS,CS 571,Combinatorial Mathematics,5,34
36486,CS,CS 576,Topics in Automated Deduction,5,34
24862,CS,CS 581,Algorithmic Genomic Biology,5,34
41242,CS,CS 584,Embedded System Verification,5,34
10357,CS,CS 591,Advanced Seminar,5,34
34359,CS,CS 598,Special Topics,5,34
36055,CS,CS 599,Thesis Research,5,34
19111,CS,CS 225,Data Structures,2,34
97337,CS,CS 233,Computer Architecture,2,34
