id,project_id,skill_id
1,0,30
2,0,33
3,1,6
4,1,13
5,1,16
6,1,18
7,2,2
8,3,26
9,4,17
10,6,3
11,7,2
12,7,30
13,7,31
14,7,34
15,8,20
16,8,24
17,9,3
18,9,18
19,9,21
20,9,31
21,9,32
22,10,15
23,10,30
24,11,8
25,12,22
26,12,23
27,12,30
28,12,33
29,13,19
30,16,1
31,16,9
32,16,21
33,17,2
34,17,5
35,18,25
36,20,1
37,20,14
38,20,34
39,21,3
40,21,15
41,22,24
42,22,35
43,23,4
44,23,16
45,23,17
46,24,4
47,24,6
48,24,14
49,24,20
50,24,21
51,25,13
52,25,18
53,26,2
54,27,16
55,28,4
56,28,12
57,28,15
58,28,25
59,28,31
60,29,3
61,29,9
62,29,14
63,29,32
64,30,13
65,30,28
66,30,34
67,31,5
68,31,8
69,32,1
70,32,4
71,32,10
72,32,23
73,33,34
74,34,1
75,34,4
76,34,8
77,34,10
78,34,20
79,35,13
80,35,21
81,35,22
82,35,24
83,35,25
84,35,33
85,35,35
86,36,23
87,36,27
88,36,28
89,36,30
90,37,20
91,38,7
92,38,12
93,39,9
94,39,28
95,40,6
96,40,19
97,41,9
98,41,15
99,41,33
100,42,12
101,42,35
102,43,6
103,43,11
104,43,22
105,43,30
106,44,11
107,44,20
108,46,4
109,46,8
110,46,22
111,46,26
112,47,25
113,49,6
114,50,9
115,50,19
116,51,20
117,52,4
118,52,13
119,52,18
120,53,1
121,53,10
122,53,11
123,53,12
124,54,34
125,54,35
126,56,7
127,56,20
128,56,23
129,56,24
130,57,8
131,57,10
132,57,14
133,58,17
134,58,30
135,59,17
136,60,24
137,60,26
138,60,27
139,61,5
140,61,6
141,61,28
142,61,31
143,61,33
144,62,7
145,62,15
146,64,1
147,65,27
148,66,13
149,66,29
150,68,10
151,68,22
152,68,29
153,69,4
154,69,6
155,71,11
156,71,29
157,72,1
158,72,10
159,72,13
160,73,14
161,73,31
162,74,11
163,75,27
164,76,12
165,76,15
166,76,16
167,76,27
168,76,29
169,76,33
170,77,3
171,77,13
172,77,19
173,77,25
174,78,16
175,78,21
176,80,17
177,80,35
178,81,7
179,81,15
180,81,21
181,82,14
182,82,15
183,82,33
184,83,16
185,84,4
186,84,31
187,84,35
188,85,10
189,85,22
190,86,2
191,86,33
192,87,27
193,87,33
194,88,7
195,88,19
196,88,21
197,88,23
198,88,34
199,89,1
200,89,2
201,89,10
202,89,18
203,89,23
204,89,28
205,90,13
206,91,18
207,91,21
208,91,32
209,92,25
210,93,20
211,93,32
212,94,4
213,94,21
214,94,30
215,94,35
216,95,22
217,96,21
218,96,24
219,96,33
220,97,23
221,98,21
222,98,27
223,99,22
224,100,1
225,100,8
226,100,26
227,101,12
228,101,13
229,101,29
230,102,14
231,102,18
232,103,10
233,103,35
234,104,23
235,106,2
236,106,20
237,108,13
238,108,20
239,109,5
240,109,22
241,109,35
242,110,2
243,110,5
244,110,19
245,111,2
246,111,13
247,111,26
248,112,3
249,112,15
250,112,32
251,113,9
252,113,17
253,113,22
254,113,29
255,113,34
256,115,4
257,115,23
258,116,8
259,116,14
260,116,17
261,116,35
262,118,1
263,118,5
264,118,11
265,120,3
266,120,5
267,120,15
268,120,35
269,121,29
270,121,32
271,121,34
272,122,34
273,123,2
274,124,7
275,124,10
276,124,16
277,124,20
278,124,34
279,125,2
280,125,12
281,125,14
282,126,4
283,128,1
284,128,6
285,128,19
286,128,35
287,129,26
288,129,32
289,130,3
290,130,7
291,130,20
292,130,32
293,132,18
294,133,1
295,133,2
296,133,13
297,133,17
298,133,19
299,133,33
300,134,2
301,134,12
302,135,17
303,135,18
304,135,19
305,136,12
306,136,25
307,136,35
308,137,8
309,137,33
310,138,1
311,138,12
312,138,18
