id,score,skill_id,student_id
1,77,1,1
2,0,2,1
3,82,3,1
4,0,4,1
5,79,5,1
6,0,6,1
7,77,7,1
8,0,8,1
9,0,9,1
10,0,10,1
11,0,11,1
12,64,12,1
13,0,13,1
14,0,14,1
15,0,15,1
16,0,16,1
17,0,17,1
18,0,18,1
19,78,19,1
20,0,20,1
21,0,21,1
22,41,22,1
23,0,23,1
24,0,24,1
25,0,25,1
26,0,26,1
27,0,27,1
28,0,28,1
29,23,29,1
30,0,30,1
31,47,31,1
32,27,32,1
33,16,33,1
34,88,34,1
35,0,35,1
36,92,1,2
37,2,2,2
38,42,3,2
39,0,4,2
40,0,5,2
41,0,6,2
42,97,7,2
43,0,8,2
44,0,9,2
45,0,10,2
46,0,11,2
47,0,12,2
48,0,13,2
49,0,14,2
50,0,15,2
51,0,16,2
52,0,17,2
53,0,18,2
54,0,19,2
55,0,20,2
56,0,21,2
57,0,22,2
58,85,23,2
59,96,24,2
60,0,25,2
61,0,26,2
62,15,27,2
63,0,28,2
64,0,29,2
65,0,30,2
66,0,31,2
67,50,32,2
68,0,33,2
69,0,34,2
70,0,35,2
71,16,1,3
72,13,2,3
73,10,3,3
74,81,4,3
75,53,5,3
76,43,6,3
77,0,7,3
78,73,8,3
79,0,9,3
80,37,10,3
81,0,11,3
82,0,12,3
83,86,13,3
84,0,14,3
85,0,15,3
86,0,16,3
87,33,17,3
88,0,18,3
89,0,19,3
90,56,20,3
91,81,21,3
92,0,22,3
93,30,23,3
94,74,24,3
95,53,25,3
96,0,26,3
97,0,27,3
98,68,28,3
99,0,29,3
100,33,30,3
101,0,31,3
102,47,32,3
103,85,33,3
104,0,34,3
105,0,35,3
106,0,1,4
107,0,2,4
108,0,3,4
109,0,4,4
110,0,5,4
111,0,6,4
112,0,7,4
113,0,8,4
114,0,9,4
115,0,10,4
116,0,11,4
117,0,12,4
118,0,13,4
119,0,14,4
120,0,15,4
121,0,16,4
122,0,17,4
123,0,18,4
124,0,19,4
125,0,20,4
126,34,21,4
127,0,22,4
128,0,23,4
129,0,24,4
130,0,25,4
131,70,26,4
132,0,27,4
133,0,28,4
134,0,29,4
135,0,30,4
136,0,31,4
137,0,32,4
